uniqueID,Objective,Metric,Method
1,2b. Meet power demands,Power provided by dam (MWh),Use installed capacity
2,2b. Meet power demands,Power provided by dam (MWh),Estimate power generation
3,2b. Meet power demands,Users of dam power (#),Determine number of homes and businesses or population served by dam hydroelectricity
4,2b. Meet power demands,Value of power provided by dam ($),Apply long-term cost data to power consumption
5,4a. Maximize swift water recreation,Annualized value of recreation benefits over an appropriate time horizon,Apply stated or revealed preference methods
6,4a. Maximize swift water recreation,Annualized value of recreation benefits over an appropriate time horizon,Generate benefits transfer model
7,4a. Maximize swift water recreation,Accessible stream length (km),Use connectivity methods
8,4b. Maximize flat water recreation,Annualized value of recreation benefits over an appropriate time horizon,Apply stated or revealed preference methods
9,4b. Maximize flat water recreation,Annualized value of recreation benefits over an appropriate time horizon,Generate benefits transfer model
10,4b. Maximize flat water recreation,Accessible flat water area (km2),Calculate water area
11,4c. Minimize adverse impacts to historic sites,Average community ranking of historical significance,Ask community members to rank the historical significance of the dam relative to other significant places in the community
12,4c. Minimize adverse impacts to historic sites,Register of historic places listing,"Determine whether a dam is listed or is eligible for listing on a national, tribal, or state register of historic places"
13,4d. Minimize interruption to community sense of place,Local opposition to dam removal,# of properties within a discrete distance of the reservoir
14,4d. Minimize interruption to community sense of place,Local opposition to dam removal,Percentage of riparian residents opposed to dam removal
15,5a. Promote/maintain focal taxa,Cumulative estimated access of the target species to the river network,Connectivity methods principally derived from river network structure
16,5a. Promote/maintain focal taxa,"Estimated biomass, population size, or extirpation risk of the organism in the river network",Population size and viability models
17,5a. Promote/maintain focal taxa,Expert opinion about the consequences of considered barriers for the organism of interest,Scoring rubric
18,5b. Promote/maintain biodiversity,Degree of river network connectivity,Connectivity methods principally derived from river network structure
19,5b. Promote/maintain biodiversity,"Current watershed, riparian, or instream physical and/or chemical condition ",Method represent the severity of other stressors in the system
20,5b. Promote/maintain biodiversity,Current biodiversity,Use methods to characterize the existing biodiversity near a proposed dam removal 
21,"5c. Prevent the spread of invasive species, diseases, and hybridization",Risk of spread,Invasion risk estimation methods and indicators
